nodeIP,date,sunPower,sunCurrent,sunVoltage,batteryVoltage,chargingCurrent,outputCurrent,outputVoltage,loadPower,systemTemp,batteryTemp,totalGenerated
10.0.70.90,2025-03-27 16:00:00,18.04W,1.37A,13.17V,12.73V,0.09A,0.25A,49.43V,12.36W,38,9,43WH
10.0.70.90,2025-03-27 17:00:00,18.04W,1.37A,13.17V,12.73V,0.09A,0.25A,49.43V,12.36W,38,9,44WH
10.0.70.90,2025-03-27 18:00:00,8.75W,0.68A,12.87V,12.47V,0.00A,0.24A,49.43V,11.86W,38,9,52WH
10.0.70.90,2025-03-27 19:00:00,0.00W,0.00A,0.00V,12.20V,0.00A,0.24A,49.45V,11.87W,36,8,54WH
10.0.70.90,2025-03-27 20:00:00,0.00W,0.00A,0.00V,12.19V,0.00A,0.21A,49.45V,10.38W,33,7,54WH
10.0.70.90,2025-03-27 21:00:00,0.00W,0.00A,0.00V,12.24V,0.00A,0.09A,49.47V,4.45W,29,4,54WH
10.0.70.90,2025-03-27 22:00:00,0.00W,0.00A,0.00V,12.22V,0.00A,0.09A,49.47V,4.45W,28,3,54WH
10.0.70.90,2025-03-27 23:00:00,0.00W,0.00A,0.00V,12.20V,0.00A,0.08A,49.43V,3.95W,28,3,54WH
10.0.70.90,2025-03-28 00:00:00,0.00W,0.00A,0.00V,12.20V,0.00A,0.08A,49.45V,3.96W,27,2,54WH
10.0.70.90,2025-03-28 01:00:00,0.00W,0.00A,0.00V,12.20V,0.00A,0.09A,49.49V,4.45W,25,0,54WH
10.0.70.90,2025-03-28 02:00:00,0.00W,0.00A,0.00V,12.19V,0.00A,0.09A,49.47V,4.45W,23,-1,54WH
10.0.70.90,2025-03-28 03:00:00,0.00W,0.00A,0.00V,12.19V,0.00A,0.09A,49.47V,4.45W,22,-2,54WH
10.0.70.90,2025-03-28 04:00:00,0.00W,0.00A,0.00V,12.17V,0.00A,0.08A,49.45V,3.96W,21,-3,54WH
10.0.70.90,2025-03-28 05:00:00,0.00W,0.00A,0.00V,12.15V,0.00A,0.08A,49.47V,3.96W,20,-4,54WH
10.0.70.90,2025-03-28 06:00:00,0.00W,0.00A,0.00V,12.15V,0.00A,0.09A,49.47V,4.45W,20,-5,54WH
10.0.70.90,2025-03-28 07:00:00,0.00W,0.00A,0.00V,12.13V,0.00A,0.09A,49.45V,4.45W,19,-5,54WH
10.0.70.90,2025-03-28 08:00:00,5.86W,0.44A,13.32V,12.26V,0.00A,0.09A,49.45V,4.45W,23,-4,55WH
10.0.70.90,2025-03-28 09:00:00,19.55W,1.51A,12.95V,12.47V,0.33A,0.24A,49.47V,11.87W,25,-2,64WH
10.0.70.90,2025-03-28 10:00:00,48.65W,2.15A,22.63V,14.09V,3.03A,0.09A,49.43V,4.45W,27,-1,90WH
10.0.70.90,2025-03-28 11:00:00,53.62W,3.67A,14.61V,13.94V,3.41A,0.09A,49.43V,4.45W,32,1,150WH
10.0.70.90,2025-03-28 12:00:00,85.47W,3.77A,22.67V,14.58V,5.68A,0.10A,49.43V,4.94W,35,3,215WH
10.0.70.90,2025-03-28 13:00:00,50.09W,2.30A,21.78V,13.69V,3.32A,0.09A,49.41V,4.45W,37,6,286WH
10.0.70.90,2025-03-28 15:00:14,14.50W,1.07A,13.55V,13.09V,0.48A,0.09A,49.43V,4.45W,32,4,362WH
10.0.70.90,2025-03-28 16:00:00,11.20W,0.83A,13.49V,13.07V,0.24A,0.08A,49.45V,3.96W,30,3,375WH
10.0.70.90,2025-03-28 17:00:00,0.00W,0.00A,21.71V,12.81V,0.00A,0.08A,49.43V,3.95W,30,3,380WH
10.0.70.90,2025-03-28 18:00:00,0.00W,0.00A,20.88V,12.75V,0.00A,0.08A,49.45V,3.96W,29,2,380WH
10.0.70.90,2025-03-28 19:00:00,0.00W,0.00A,0.00V,12.71V,0.00A,0.08A,49.43V,3.95W,25,0,380WH
10.0.70.90,2025-03-28 20:00:00,0.00W,0.00A,0.00V,12.68V,0.00A,0.08A,49.47V,3.96W,23,0,380WH
10.0.70.90,2025-03-28 21:00:00,0.00W,0.00A,0.00V,12.66V,0.00A,0.08A,49.45V,3.96W,22,-1,380WH
10.0.70.90,2025-03-28 22:00:00,0.00W,0.00A,0.00V,12.62V,0.00A,0.09A,49.47V,4.45W,23,-1,380WH
10.0.70.90,2025-03-28 23:00:00,0.00W,0.00A,0.00V,12.60V,0.00A,0.09A,49.45V,4.45W,22,-1,380WH
10.0.70.90,2025-03-29 00:00:00,0.00W,0.00A,0.00V,12.56V,0.00A,0.08A,49.45V,3.96W,22,-1,380WH
10.0.70.90,2025-03-29 01:00:00,0.00W,0.00A,0.00V,12.52V,0.00A,0.08A,49.43V,3.95W,22,-1,380WH
10.0.70.90,2025-03-29 02:00:00,0.00W,0.00A,0.00V,12.51V,0.00A,0.08A,49.47V,3.96W,21,-2,380WH
10.0.70.90,2025-03-29 03:00:00,0.00W,0.00A,0.00V,12.49V,0.00A,0.08A,49.45V,3.96W,21,-2,380WH
10.0.70.90,2025-03-29 04:00:00,0.00W,0.00A,0.00V,12.47V,0.00A,0.09A,49.47V,4.45W,21,-2,380WH
10.0.70.90,2025-03-29 05:00:00,0.00W,0.00A,0.00V,12.43V,0.00A,0.08A,49.45V,3.96W,21,-2,380WH
10.0.70.90,2025-03-29 06:00:00,0.00W,0.00A,0.00V,12.41V,0.00A,0.08A,49.45V,3.96W,20,-2,380WH
